id_equipment,name,desc,category,gear_category,cost,weight,speed,range,capacity,properties,damage,damage_type,category_range,throw_range,weapon_category,weapon_range,armor_category,armor_class,tool_category,vehicle_category
113,Jeweler's tools,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,25 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
114,Jug or pitcher,None,Adventuring Gear,Standard Gear,2 cp,4.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
115,Keelboat,"Keelboats and rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles cant be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. A rowboat weighs 100 pounds, in case adventurers carry it over land.",Mounts and Vehicles,,3000 gp,,1 mph,None,None,None,None,None,None,None,None,None,None,None,None,Waterborne Vehicles
116,Ladder (10-foot),None,Adventuring Gear,Standard Gear,1 sp,25.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
117,Lamp,"A lamp casts bright light in a 15-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.",Adventuring Gear,Standard Gear,5 sp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
118,Lance,None,Weapon,,10 gp,6.0,None,Range: 5; Long: None,None,"Reach, Special",1d12,Piercing,Martial Melee,None,Martial,Melee,None,None,None,None
119,"Lantern, bullseye","A bullseye lantern casts bright light in a 60-foot cone and dim light for an additional 60 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil.",Adventuring Gear,Standard Gear,10 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
120,"Lantern, hooded","A hooded lantern casts bright light in a 30-foot radius and dim light for an additional 30 feet. Once lit, it burns for 6 hours on a flask (1 pint) of oil. As an action, you can lower the hood, reducing the light to dim light in a 5-foot radius.",Adventuring Gear,Standard Gear,5 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
121,Leather,None,Armor,,10 gp,10.0,None,None,None,None,None,None,None,None,None,None,Light,Base: 11; Max bonus: None,None,None
122,Leatherworker's tools,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,5 gp,5.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
123,Light hammer,None,Weapon,,2 gp,2.0,None,Range: 5; Long: None,None,"Light, Thrown, Monk",1d4,Bludgeoning,Simple Melee,Range: 20; Long: 60,Simple,Melee,None,None,None,None
124,Lock,"A key is provided with the lock. Without the key, a creature proficient with thieves tools can pick this lock with a successful DC 15 Dexterity check. Your GM may decide that better locks are available for higher prices.",Adventuring Gear,Standard Gear,10 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
125,Longbow,None,Weapon,,50 gp,2.0,None,Range: 150; Long: 600,None,"Ammunition, Heavy, Two-Handed",1d8,Piercing,Martial Ranged,None,Martial,Ranged,None,None,None,None
126,Longship,None,Mounts and Vehicles,,10000 gp,,3 mph,None,None,None,None,None,None,None,None,None,None,None,None,Waterborne Vehicles
127,Longsword,None,Weapon,,15 gp,3.0,None,Range: 5; Long: None,None,Versatile,1d8,Slashing,Martial Melee,None,Martial,Melee,None,None,None,None
128,Lute,"Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",Tools,,35 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,Musical Instrument,None
129,Lyre,"Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",Tools,,30 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,Musical Instrument,None
130,Mace,None,Weapon,,5 gp,4.0,None,Range: 5; Long: None,None,Monk,1d6,Bludgeoning,Simple Melee,None,Simple,Melee,None,None,None,None
131,Magnifying glass,"This lens allows a closer look at small objects. It is also useful as a substitute for flint and steel when starting fires. Lighting a fire with a magnifying glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite., A magnifying glass grants advantage on any ability check made to appraise or inspect an item that is small or highly detailed.",Adventuring Gear,Standard Gear,100 gp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
132,Manacles,"These metal restraints can bind a Small or Medium creature. Escaping the manacles requires a successful DC 20 Dexterity check. Breaking them requires a successful DC 20 Strength check., Each set of manacles comes with one key. Without the key, a creature proficient with thieves tools can pick the manacles lock with a successful DC 15 Dexterity check. Manacles have 15 hit points.",Adventuring Gear,Standard Gear,2 gp,6.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
133,Mason's tools,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,10 gp,8.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
134,Mastiff,None,Mounts and Vehicles,,25 gp,,40 ft/round,None,195 lb.,None,None,None,None,None,None,None,None,None,None,Mounts and Other Animals
135,Maul,None,Weapon,,10 gp,10.0,None,Range: 5; Long: None,None,"Heavy, Two-Handed",2d6,Bludgeoning,Martial Melee,None,Martial,Melee,None,None,None,None
136,Mess Kit,"This tin box contains a cup and simple cutlery. The box clamps together, and one side can be used as a cooking pan and the other as a plate or shallow bowl.",Adventuring Gear,Kit,2 sp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
137,"Mirror, steel",None,Adventuring Gear,Standard Gear,5 gp,0.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None
138,Morningstar,None,Weapon,,15 gp,4.0,None,Range: 5; Long: None,None,None,1d8,Piercing,Martial Melee,None,Martial,Melee,None,None,None,None
139,Mule,None,Mounts and Vehicles,,8 gp,,40 ft/round,None,420 lb.,None,None,None,None,None,None,None,None,None,None,Mounts and Other Animals
140,Navigator's tools,"This set of instruments is used for navigation at sea. Proficiency with navigators tools lets you chart a ships course and follow navigation charts. In addition, these tools allow you to add your proficiency bonus to any ability check you make to avoid getting lost at sea.",Tools,,25 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,Other Tools,None
141,Net,None,Weapon,,1 gp,3.0,None,Range: 5; Long: 15,None,"Thrown, Special",None,None,Martial Ranged,Range: 5; Long: 15,Martial,Ranged,None,None,None,None
142,Oil (flask),"Oil usually comes in a clay flask that holds 1 pint., As an action, you can splash the oil in this flask onto a creature within 5 feet of you or throw it up to 20 feet, shattering it on impact. Make a ranged attack against a target creature or object, treating the oil as an improvised weapon., On a hit, the target is covered in oil. If the target takes any fire damage before the oil dries (after 1 minute), the target takes an additional 5 fire damage from the burning oil., You can also pour a flask of oil on the ground to cover a 5-foot-square area, provided that the surface is level., If lit, the oil burns for 2 rounds and deals 5 fire damage to any creature that enters the area or ends its turn in the area. A creature can take this damage only once per turn.",Adventuring Gear,Standard Gear,1 sp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
143,Orb,"An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",Adventuring Gear,Arcane focus,20 gp,3.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
144,Padded,None,Armor,,5 gp,8.0,None,None,None,None,None,None,None,None,None,None,Light,Base: 11; Max bonus: None,None,None
145,Painter's supplies,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,10 gp,5.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
146,Pan flute,"Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",Tools,,12 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,Musical Instrument,None
147,Paper (one sheet),None,Adventuring Gear,Standard Gear,2 sp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
148,Parchment (one sheet),None,Adventuring Gear,Standard Gear,1 sp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
149,Perfume (vial),None,Adventuring Gear,Standard Gear,5 gp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
150,"Pick, miner's",None,Adventuring Gear,Standard Gear,2 gp,10.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
151,Pike,None,Weapon,,5 gp,18.0,None,Range: 5; Long: None,None,"Heavy, Reach, Two-Handed",1d10,Piercing,Martial Melee,None,Martial,Melee,None,None,None,None
152,Piton,None,Adventuring Gear,Standard Gear,5 cp,0.25,None,None,None,None,None,None,None,None,None,None,None,None,None,None
153,Plate,None,Armor,,1500 gp,65.0,None,None,None,None,None,None,None,None,None,None,Heavy,Base: 18; Max bonus: None,None,None
154,Playing card set,"This item encompasses a wide range of game pieces, including dice and decks of cards (for games such as Three-Dragon Ante). A few common examples appear on the Tools table, but other kinds of gaming sets exist. If you are proficient with a gaming set, you can add your proficiency bonus to ability checks you make to play a game with that set. Each type of gaming set requires a separate proficiency.",Tools,,5 sp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,Gaming Sets,None
155,"Poison, basic (vial)","You can use the poison in this vial to coat one slashing or piercing weapon or up to three pieces of ammunition. Applying the poison takes an action. A creature hit by the poisoned weapon or ammunition must make a DC 10 Constitution saving throw or take 1d4 poison damage. Once applied, the poison retains potency for 1 minute before drying.",Adventuring Gear,Standard Gear,100 gp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
156,Poisoner's Kit,"A poisoners kit includes the vials, chemicals, and other equipment necessary for the creation of poisons. Proficiency with this kit lets you add your proficiency bonus to any ability checks you make to craft or use poisons.",Adventuring Gear,Kit,50 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
157,Pole (10-foot),None,Adventuring Gear,Standard Gear,5 cp,7.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
158,Pony,None,Mounts and Vehicles,,30 gp,,40 ft/round,None,225 lb.,None,None,None,None,None,None,None,None,None,None,Mounts and Other Animals
159,"Pot, iron",None,Adventuring Gear,Standard Gear,2 gp,10.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
160,Potion of healing,A character who drinks the magical red fluid in this vial regains 2d4 + 2 hit points. Drinking or administering a potion takes an action.,Adventuring Gear,Standard Gear,50 gp,0.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None
161,Potter's tools,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,10 gp,3.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
162,Pouch,"A cloth or leather pouch can hold up to 20 sling bullets or 50 blowgun needles, among other things. A compartmentalized pouch for holding spell components is called a component pouch (described earlier in this section).",Adventuring Gear,Standard Gear,5 sp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
163,Priest's Pack,None,Adventuring Gear,Equipment Pack,19 gp,,None,None,None,None,None,None,None,None,None,None,None,None,None,None
164,Quarterstaff,None,Weapon,,2 sp,4.0,None,Range: 5; Long: None,None,"Versatile, Monk",1d6,Bludgeoning,Simple Melee,None,Simple,Melee,None,None,None,None
165,Quiver,A quiver can hold up to 20 arrows.,Adventuring Gear,Standard Gear,1 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
166,"Ram, portable","You can use a portable ram to break down doors. When doing so, you gain a +4 bonus on the Strength check. One other character can help you use the ram, giving you advantage on this check.",Adventuring Gear,Standard Gear,4 gp,35.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
167,Rapier,None,Weapon,,25 gp,2.0,None,Range: 5; Long: None,None,Finesse,1d8,Piercing,Martial Melee,None,Martial,Melee,None,None,None,None
168,Rations (1 day),"Rations consist of dry foods suitable for extended travel, including jerky, dried fruit, hardtack, and nuts.",Adventuring Gear,Standard Gear,5 sp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
169,Reliquary,"A holy symbol is a representation of a god or pantheon. It might be an amulet depicting a symbol representing a deity, the same symbol carefully engraved or inlaid as an emblem on a shield, or a tiny box holding a fragment of a sacred relic., Appendix B lists the symbols commonly associated with many gods in the multiverse. A cleric or paladin can use a holy symbol as a spellcasting focus. To use the symbol in this way, the caster must hold it in hand, wear it visibly, or bear it on a shield.",Adventuring Gear,Holy Symbol,5 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
170,Riding,None,Mounts and Vehicles,,10 gp,25.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
171,Ring Mail,None,Armor,,30 gp,40.0,None,None,None,None,None,None,None,None,None,None,Heavy,Base: 14; Max bonus: None,None,None
172,Robes,None,Adventuring Gear,Standard Gear,1 gp,4.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
173,Rod,"An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",Adventuring Gear,Arcane focus,10 gp,2.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
174,"Rope, hempen (50 feet)","Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check.",Adventuring Gear,Standard Gear,1 gp,10.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
175,"Rope, silk (50 feet)","Rope, whether made of hemp or silk, has 2 hit points and can be burst with a DC 17 Strength check.",Adventuring Gear,Standard Gear,10 gp,5.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
176,Rowboat,"Keelboats and rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles cant be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. A rowboat weighs 100 pounds, in case adventurers carry it over land.",Mounts and Vehicles,,50 gp,,1.5 mph,None,None,None,None,None,None,None,None,None,None,None,None,Waterborne Vehicles
177,Sack,None,Adventuring Gear,Standard Gear,1 cp,0.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None
178,"Saddle, Exotic","A military saddle braces the rider, helping you keep your seat on an active mount in battle. It gives you advantage on any check you make to remain mounted. An exotic saddle is required for riding any aquatic or flying mount.",Mounts and Vehicles,,60 gp,50.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
179,"Saddle, Military","A military saddle braces the rider, helping you keep your seat on an active mount in battle. It gives you advantage on any check you make to remain mounted. An exotic saddle is required for riding any aquatic or flying mount.",Mounts and Vehicles,,20 gp,30.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
180,"Saddle, Pack","A military saddle braces the rider, helping you keep your seat on an active mount in battle. It gives you advantage on any check you make to remain mounted. An exotic saddle is required for riding any aquatic or flying mount.",Mounts and Vehicles,,5 gp,15.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
181,Saddlebags,None,Mounts and Vehicles,,4 gp,8.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
182,Sailing ship,None,Mounts and Vehicles,,10000 gp,,2 mph,None,None,None,None,None,None,None,None,None,None,None,None,Waterborne Vehicles
183,Scale Mail,None,Armor,,50 gp,45.0,None,None,None,None,None,None,None,None,None,None,Medium,Base: 14; Max bonus: 2,None,None
184,"Scale, merchant's","A scale includes a small balance, pans, and a suitable assortment of weights up to 2 pounds. With it, you can measure the exact weight of small objects, such as raw precious metals or trade goods, to help determine their worth.",Adventuring Gear,Standard Gear,5 gp,3.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
185,Scholar's Pack,None,Adventuring Gear,Equipment Pack,40 gp,,None,None,None,None,None,None,None,None,None,None,None,None,None,None
186,Scimitar,None,Weapon,,25 gp,3.0,None,Range: 5; Long: None,None,"Finesse, Light",1d6,Slashing,Martial Melee,None,Martial,Melee,None,None,None,None
187,Sealing wax,None,Adventuring Gear,Standard Gear,5 sp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
188,Shawm,"Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",Tools,,2 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,Musical Instrument,None
189,Shield,None,Armor,,10 gp,6.0,None,None,None,None,None,None,None,None,None,None,Shield,Base: 2; Max bonus: None,None,None
190,Shortbow,None,Weapon,,25 gp,2.0,None,Range: 80; Long: 320,None,"Ammunition, Two-Handed",1d6,Piercing,Simple Ranged,None,Simple,Ranged,None,None,None,None
191,Shortsword,None,Weapon,,10 gp,2.0,None,Range: 5; Long: None,None,"Finesse, Light, Monk",1d6,Piercing,Martial Melee,None,Martial,Melee,None,None,None,None
192,Shovel,None,Adventuring Gear,Standard Gear,2 gp,5.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
193,Sickle,None,Weapon,,1 gp,2.0,None,Range: 5; Long: None,None,"Light, Monk",1d4,Slashing,Simple Melee,None,Simple,Melee,None,None,None,None
194,Signal whistle,None,Adventuring Gear,Standard Gear,5 cp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
195,Signet ring,None,Adventuring Gear,Standard Gear,5 gp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
196,Sled,None,Mounts and Vehicles,,20 gp,300.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
197,Sling,None,Weapon,,1 sp,0.0,None,Range: 30; Long: 120,None,Ammunition,1d4,Bludgeoning,Simple Ranged,None,Simple,Ranged,None,None,None,None
198,Sling bullet,None,Adventuring Gear,Ammunition,4 cp,1.5,None,None,None,None,None,None,None,None,None,None,None,None,None,None
199,Smith's tools,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,20 gp,8.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
200,Soap,None,Adventuring Gear,Standard Gear,2 cp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
201,Spear,None,Weapon,,1 gp,3.0,None,Range: 5; Long: None,None,"Thrown, Versatile, Monk",1d6,Piercing,Simple Melee,Range: 20; Long: 60,Simple,Melee,None,None,None,None
202,Spellbook,"Essential for wizards, a spellbook is a leather-bound tome with 100 blank vellum pages suitable for recording spells.",Adventuring Gear,Standard Gear,50 gp,3.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
203,"Spike, iron",None,Adventuring Gear,Standard Gear,1 sp,5.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
204,Splint,None,Armor,,200 gp,60.0,None,None,None,None,None,None,None,None,None,None,Heavy,Base: 17; Max bonus: None,None,None
205,Sprig of mistletoe,"A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus.",Adventuring Gear,Druidic focus,1 gp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
206,Spyglass,Objects viewed through a spyglass are magnified to twice their size.,Adventuring Gear,Standard Gear,1000 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
207,Stabling (1 day),None,Mounts and Vehicles,,5 sp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
208,Staff,"An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",Adventuring Gear,Arcane focus,5 gp,4.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
209,Studded Leather,None,Armor,,45 gp,13.0,None,None,None,None,None,None,None,None,None,None,Light,Base: 12; Max bonus: None,None,None
210,"Tent, two-person","A simple and portable canvas shelter, a tent sleeps two.",Adventuring Gear,Standard Gear,2 gp,20.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
211,Thieves' tools,"This set of tools includes a small file, a set of lock picks, a small mirror mounted on a metal handle, a set of narrow-bladed scissors, and a pair of pliers. Proficiency with these tools lets you add your proficiency bonus to any ability checks you make to disarm traps or open locks.",Tools,,25 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,Other Tools,None
212,Tinderbox,"This small container holds flint, fire steel, and tinder (usually dry cloth soaked in light oil) used to kindle a fire. Using it to light a torch--or anything else with abundant, exposed fuel--takes an action., Lighting any other fire takes 1 minute.",Adventuring Gear,Standard Gear,5 sp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
213,Tinker's tools,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,50 gp,10.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
214,Torch,"A torch burns for 1 hour, providing bright light in a 20-foot radius and dim light for an additional 20 feet. If you make a melee attack with a burning torch and hit, it deals 1 fire damage.",Adventuring Gear,Standard Gear,1 cp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
215,Totem,"A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus.",Adventuring Gear,Druidic focus,1 gp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
216,Trident,None,Weapon,,5 gp,4.0,None,Range: 5; Long: None,None,"Thrown, Versatile",1d6,Slashing,Martial Melee,Range: 20; Long: 60,Martial,Melee,None,None,None,None
217,Vial,None,Adventuring Gear,Standard Gear,1 gp,0.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
218,Viol,"Several of the most common types of musical instruments are shown on the table as examples. If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.",Tools,,30 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,Musical Instrument,None
219,Wagon,None,Mounts and Vehicles,,35 gp,400.0,None,None,None,None,None,None,None,None,None,None,None,None,None,"Tack, Harness, and Drawn Vehicles"
220,Wand,"An arcane focus is a special item--an orb, a crystal, a rod, a specially constructed staff, a wand-like length of wood, or some similar item--designed to channel the power of arcane spells. A sorcerer, warlock, or wizard can use such an item as a spellcasting focus.",Adventuring Gear,Arcane focus,10 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
221,War pick,None,Weapon,,5 gp,2.0,None,Range: 5; Long: None,None,None,1d8,Piercing,Martial Melee,None,Martial,Melee,None,None,None,None
222,Warhammer,None,Weapon,,15 gp,2.0,None,Range: 5; Long: None,None,Versatile,1d8,Bludgeoning,Martial Melee,None,Martial,Melee,None,None,None,None
223,Warhorse,None,Mounts and Vehicles,,400 gp,,60 ft/round,None,540 lb.,None,None,None,None,None,None,None,None,None,None,Mounts and Other Animals
224,Warship,None,Mounts and Vehicles,,25000 gp,,2.5 mph,None,None,None,None,None,None,None,None,None,None,None,None,Waterborne Vehicles
225,Waterskin,None,Adventuring Gear,Standard Gear,2 sp,5.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
226,Weaver's tools,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,1 gp,5.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
227,Whetstone,None,Adventuring Gear,Standard Gear,1 cp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
228,Whip,None,Weapon,,2 gp,3.0,None,Range: 5; Long: None,None,"Finesse, Reach",1d4,Slashing,Martial Melee,None,Martial,Melee,None,None,None,None
229,Woodcarver's tools,"These special tools include the items needed to pursue a craft or trade. The table shows examples of the most common types of tools, each providing items related to a single craft. Proficiency with a set of artisans tools lets you add your proficiency bonus to any ability checks you make using the tools in your craft. Each type of artisans tools requires a separate proficiency.",Tools,,1 gp,5.0,None,None,None,None,None,None,None,None,None,None,None,None,Artisan's Tools,None
230,Wooden staff,"A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus.",Adventuring Gear,Druidic focus,5 gp,4.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
231,Yew wand,"A druidic focus might be a sprig of mistletoe or holly, a wand or scepter made of yew or another special wood, a staff drawn whole out of a living tree, or a totem object incorporating feathers, fur, bones, and teeth from sacred animals. A druid can use such an object as a spellcasting focus.",Adventuring Gear,Druidic focus,10 gp,1.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None
